genes	Mf_mean	Mm_mean	theta	prob	log2FC
Rphi_RPHIM00000019521	718.812076117033	310.1330749785	2.84571766418775	1	1.21272725221651
Rphi_RPHIM00000007888	247.908348752367	16.0954608619667	1.85440547854806	1	3.94508106628765
Rphi_RPHIM00000002298	47.7664396202	258.701056721067	-1.77014156210888	1	-2.43721669565249
Rphi_RPHIM00000030736	4.8141817491	589.383875429167	-3.35393538671066	1	-6.93577317232389
Rphi_RPHIM00000009107	0.1	2.46761243246667	-2.10138693294553	1	-4.62504391495575
Rphi_RPHIM00000012321	1.3601015704	34.1439279264667	-1.7268674326835	1	-4.64984273695944
Rphi_RPHIM00000027907	0.1	19.9589204671333	-3.61132958963798	1	-7.64088988044832
Rphi_RPHIM00000031003	39.9539943024	151.2577894039	-1.72843334216547	1	-1.92059779417695
Rphi_RPHIM00000012455	0.426300321966667	28.0647538419667	-1.71230079660802	1	-6.04074545023606
Rphi_RPHIM00000012104	11.8977219517667	156.1888384052	-2.20758548222607	1	-3.7145340857222
Rphi_RPHIM00000008187	0.7859339773	60.8391834867	-1.89965470920198	1	-6.27444885738271
Rphi_RPHIM00000013620	0.1	16.7733243707333	-3.6658892416692	1	-7.39002484038631
Rphi_RPHIM00000009405	881.886557365	108.407672216967	3.19472537491209	1	3.02412622217315
Rphi_RPHIM00000019210	0.1	22.7302449832	-3.43463867014573	1	-7.82846942316687
Rphi_RPHIM00000006024	0.6741675931	46.3072458024	-1.68590879763023	1	-6.10198686341239
Rphi_RPHIM00000004981	0.848611630866667	122.936559152367	-2.23880189728428	1	-7.178593844102
Rphi_RPHIM00000001027	475.761049730567	186.7977601283	1.82881666818377	1	1.34876000807574
Rphi_RPHIM00000009718	0.1	18.1742782959	-3.28688544502285	1	-7.50575426535845
Rphi_RPHIM00000023894	0.1	31.4857798346667	-3.45100843963557	1	-8.29855659000425
Rphi_RPHIM00000010766	0.1	14.3057119382667	-3.38695610662889	1	-7.16044748640462
Rphi_RPHIM00000000027	3760.25207582053	173.991809057233	3.21707446214351	1	4.43373808340815
Rphi_RPHIM00000009448	975.5279276158	1328.41142889973	-1.73892397115079	1	-0.445446959826931
Rphi_RPHIM00000006573	1.17491195283333	59.8743400992333	-2.10347519013863	1	-5.67131329908602
Rphi_RPHIM00000024166	11.8431563975667	393.295821300767	-2.24748215137443	1	-5.05348931850177
Rphi_RPHIM00000030111	594.642627228067	1181.7195157674	-1.74123372539468	1	-0.990792856370179
Rphi_RPHIM00000034115	112.284982175267	11.1883980291	1.8399366106671	1	3.32708959486073
Rphi_RPHIM00000021440	0.1	14.3090055496333	-3.24236354738108	1	-7.16077960059085
Rphi_RPHIM00000013931	1476.23265549723	512.1747301563	2.6210896303523	1	1.52721212961228
Rphi_RPHIM00000024395	4.34673282803333	77.283319192	-2.16075194057614	1	-4.15215372870177
Rphi_RPHIM00000008375	0.1	34.83972862	-3.32532659872121	1	-8.44458957605062
Rphi_RPHIM00000011828	0.1	21.8409476897667	-3.06653249817559	1	-7.77089164665813
Rphi_RPHIM00000010971	0.1	35.4609353938333	-3.25260078639438	1	-8.47008678213783
Rphi_RPHIM00000005941	0.426300321966667	63.1821211449333	-2.20524426061709	1	-7.21150241680183
Rphi_RPHIM00000005945	0.1	34.1529364514333	-3.4831579903195	1	-8.41586581578039
Rphi_RPHIM00000024369	51.9887150538667	208.2681826751	-1.73111731166991	1	-2.00217205102801
Rphi_RPHIM00000008190	0.3704171299	23.9024247576667	-1.70240385742616	1	-6.01186235074912
Rphi_RPHIM00000004308	0.1	8.7989486181	-2.13975216275826	1	-6.45925924203823
Rphi_RPHIM00000020910	0.1	25.7777277119333	-3.06523917985307	1	-8.00998128655391
Rphi_RPHIM00000016843	2154.98208383543	46.5617021033	2.95756842000007	1	5.53238826663559
Rphi_RPHIM00000027033	1.80496273806667	29.7602157005667	-1.73801968938866	1	-4.04334402375568
Rphi_RPHIM00000024347	188.998138835833	625.827769612667	-2.29261382732889	1	-1.72739364860738
Rphi_RPHIM00000010132	0.1	18.7625489559667	-3.29590869633568	1	-7.55171202596116
Rphi_RPHIM00000007676	0.3704171299	30.0973921938667	-1.79423343559839	1	-6.34434386160349
Rphi_RPHIM00000009428	5.06600013866667	70.0770764807	-1.74444716890024	1	-3.79002356728806
Rphi_RPHIM00000001600	51.3538264189667	195.387559218333	-1.73071448886184	1	-1.92779492832913
Rphi_RPHIM00000023420	0.1	23.0214593052333	-3.25972548377196	1	-7.84683547701092
Rphi_RPHIM00000032673	6.06447354716667	63.9076328636	-1.72813746836001	1	-3.39753393448088
Rphi_RPHIM00000023071	15.0156541414333	85.7001285570333	-1.71122707877982	1	-2.51283004271658
Rphi_RPHIM00000015391	621.433618769933	359.911611911	1.88848013534561	1	0.787957642526363
Rphi_RPHIM00000020099	0.1	17.6884309167667	-3.59327524192243	1	-7.46666226668949
Rphi_RPHIM00000024396	65.0391791349	586.1855259671	-3.2711939691898	1	-3.17197639132752
Rphi_RPHIM00000007410	0.1	21.6453052779667	-3.14993570911085	1	-7.75791033774485
Rphi_RPHIM00000030864	0.1	26.1045635979333	-3.14886215075707	1	-8.02815823046171
