GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0090304	nucleic acid metabolic process	2420	422	298.45	1.4e-22
GO:0016070	RNA metabolic process	2113	381	260.59	3.1e-22
GO:0010467	gene expression	2687	444	331.38	7.4e-19
GO:0006396	RNA processing	762	175	93.98	8.6e-19
GO:0006397	mRNA processing	414	110	51.06	2.1e-16
GO:0006139	nucleobase-containing compound metabolic...	2753	440	339.52	2.4e-15
GO:0016071	mRNA metabolic process	632	144	77.94	5.1e-15
GO:0000377	RNA splicing, via transesterification re...	341	93	42.05	1.1e-14
GO:0000398	mRNA splicing, via spliceosome	341	93	42.05	1.1e-14
GO:0000375	RNA splicing, via transesterification re...	342	93	42.18	1.3e-14
GO:0034641	cellular nitrogen compound metabolic pro...	3153	484	388.85	4.3e-14
GO:0006725	cellular aromatic compound metabolic pro...	2867	447	353.58	1.7e-13
GO:0008380	RNA splicing	373	96	46	1.9e-13
GO:0046483	heterocycle metabolic process	2844	443	350.75	3.4e-13
GO:0051276	chromosome organization	881	176	108.65	1.3e-12
GO:1901360	organic cyclic compound metabolic proces...	2945	452	363.2	2.3e-12
GO:0010564	regulation of cell cycle process	604	132	74.49	2.6e-12
GO:0006338	chromatin remodeling	211	61	26.02	4.2e-11
GO:0006325	chromatin organization	568	122	70.05	7.1e-11
GO:0010468	regulation of gene expression	2001	323	246.78	3.2e-10
GO:0022402	cell cycle process	1084	197	133.69	4.3e-10
GO:0051726	regulation of cell cycle	872	166	107.54	4.5e-10
GO:0071103	DNA conformation change	180	52	22.2	1.3e-09
GO:0045934	negative regulation of nucleobase-contai...	711	140	87.69	1.5e-09
GO:0007049	cell cycle	1292	224	159.34	1.7e-09
GO:0031124	mRNA 3'-end processing	105	35	12.95	1.3e-08
GO:0051252	regulation of RNA metabolic process	1477	245	182.16	1.7e-08
GO:0010556	regulation of macromolecule biosynthetic...	1656	269	204.23	1.8e-08
GO:0031123	RNA 3'-end processing	137	41	16.9	2.5e-08
GO:2000112	regulation of cellular macromolecule bio...	1597	260	196.96	3.1e-08
GO:0050684	regulation of mRNA processing	138	41	17.02	3.1e-08
GO:0034728	nucleosome organization	77	28	9.5	4.4e-08
GO:0019219	regulation of nucleobase-containing comp...	1656	267	204.23	4.7e-08
GO:0043170	macromolecule metabolic process	4027	556	496.64	3.4e-07
GO:0090068	positive regulation of cell cycle proces...	227	55	28	3.5e-07
GO:0031326	regulation of cellular biosynthetic proc...	1729	272	213.23	3.8e-07
GO:0006351	DNA-templated transcription	1364	223	168.22	3.9e-07
GO:0032774	RNA biosynthetic process	1404	228	173.15	4.7e-07
GO:0016072	rRNA metabolic process	229	55	28.24	4.7e-07
GO:0033044	regulation of chromosome organization	356	76	43.9	5.4e-07
GO:0097659	nucleic acid-templated transcription	1392	226	171.67	5.6e-07
GO:0009889	regulation of biosynthetic process	1774	277	218.78	5.7e-07
GO:0006334	nucleosome assembly	34	16	4.19	6.3e-07
GO:0006259	DNA metabolic process	686	126	84.6	7.8e-07
GO:0051253	negative regulation of RNA metabolic pro...	613	115	75.6	8.7e-07
GO:0006260	DNA replication	228	54	28.12	9.7e-07
GO:1903506	regulation of nucleic acid-templated tra...	1287	210	158.72	1.2e-06
GO:2001141	regulation of RNA biosynthetic process	1288	210	158.85	1.3e-06
GO:0006355	regulation of DNA-templated transcriptio...	1252	205	154.41	1.3e-06
GO:2001252	positive regulation of chromosome organi...	174	44	21.46	1.6e-06
GO:1903047	mitotic cell cycle process	730	131	90.03	1.7e-06
GO:0051052	regulation of DNA metabolic process	293	64	36.14	2.0e-06
GO:0006366	transcription by RNA polymerase II	1014	171	125.05	2.2e-06
GO:0034660	ncRNA metabolic process	485	94	59.81	2.4e-06
