GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0000398	mRNA splicing, via spliceosome	341	94	42.17	2.6e-11
GO:0010564	regulation of cell cycle process	604	133	74.69	2.7e-07
GO:0006334	nucleosome assembly	34	16	4.2	6.5e-07
GO:0071103	DNA conformation change	180	52	22.26	1.0e-06
GO:0010628	positive regulation of gene expression	1041	175	128.73	3.4e-05
GO:0031503	protein-containing complex localization	250	53	30.91	4.0e-05
GO:0034968	histone lysine methylation	81	23	10.02	7.9e-05
GO:0006611	protein export from nucleus	195	43	24.11	8.4e-05
GO:0006260	DNA replication	228	54	28.19	9.4e-05
GO:0051383	kinetochore organization	18	9	2.23	0.00011
GO:0071166	ribonucleoprotein complex localization	145	37	17.93	0.00014
GO:0000122	negative regulation of transcription by ...	386	72	47.73	0.00016
GO:0031124	mRNA 3'-end processing	105	35	12.98	0.00018
GO:0000381	regulation of alternative mRNA splicing,...	80	22	9.89	0.00019
GO:0000083	regulation of transcription involved in ...	19	9	2.35	0.00019
GO:0006974	DNA damage response	567	101	70.11	0.00023
GO:0051984	positive regulation of chromosome segreg...	41	17	5.07	0.00026
GO:0032508	DNA duplex unwinding	66	19	8.16	0.00027
GO:0006406	mRNA export from nucleus	115	31	14.22	0.00027
GO:0070828	heterochromatin organization	56	17	6.92	0.00028
GO:0001178	regulation of transcriptional start site...	13	7	1.61	0.00038
GO:0006364	rRNA processing	196	46	24.24	0.00042
GO:0019827	stem cell population maintenance	148	33	18.3	0.00045
GO:0000463	maturation of LSU-rRNA from tricistronic...	10	6	1.24	0.00047
GO:0072718	response to cisplatin	7	5	0.87	0.00048
GO:0007221	positive regulation of transcription of ...	18	8	2.23	0.00074
GO:0046621	negative regulation of organ growth	41	13	5.07	0.00091
GO:0010032	meiotic chromosome condensation	11	6	1.36	0.00093
GO:1904749	regulation of protein localization to nu...	5	4	0.62	0.00105
GO:0010793	regulation of mRNA export from nucleus	5	4	0.62	0.00105
GO:0032968	positive regulation of transcription elo...	19	8	2.35	0.00114
GO:0031440	regulation of mRNA 3'-end processing	45	17	5.56	0.00121
GO:0051101	regulation of DNA binding	74	19	9.15	0.00127
GO:0007088	regulation of mitotic nuclear division	170	35	21.02	0.00141
GO:0040029	epigenetic regulation of gene expression	234	52	28.94	0.00143
GO:1902255	positive regulation of intrinsic apoptot...	12	6	1.48	0.00167
GO:0045814	negative regulation of gene expression, ...	99	23	12.24	0.00179
GO:1900087	positive regulation of G1/S transition o...	34	11	4.2	0.00186
GO:1901894	regulation of ATPase-coupled calcium tra...	3	3	0.37	0.00188
GO:0061436	establishment of skin barrier	3	3	0.37	0.00188
GO:0048866	stem cell fate specification	3	3	0.37	0.00188
GO:0071163	DNA replication preinitiation complex as...	3	3	0.37	0.00188
GO:0062033	positive regulation of mitotic sister ch...	25	9	3.09	0.00208
GO:0000184	nuclear-transcribed mRNA catabolic proce...	106	24	13.11	0.00209
GO:0051253	negative regulation of RNA metabolic pro...	613	119	75.8	0.00213
GO:0007064	mitotic sister chromatid cohesion	34	13	4.2	0.00226
GO:0043217	myelin maintenance	9	5	1.11	0.00234
GO:0032876	negative regulation of DNA endoreduplica...	9	5	1.11	0.00234
GO:0045876	positive regulation of sister chromatid ...	9	5	1.11	0.00234
GO:0071318	cellular response to ATP	9	5	1.11	0.00234
GO:0070198	protein localization to chromosome, telo...	21	8	2.6	0.00244
GO:0051657	maintenance of organelle location	17	7	2.1	0.00272
GO:0040010	positive regulation of growth rate	17	7	2.1	0.00272
GO:1900364	negative regulation of mRNA polyadenylat...	17	7	2.1	0.00272
GO:1990709	presynaptic active zone organization	13	6	1.61	0.00278
GO:0051276	chromosome organization	881	176	108.94	0.00280
GO:0007076	mitotic chromosome condensation	26	9	3.22	0.00284
GO:0051302	regulation of cell division	133	28	16.45	0.00293
GO:0000226	microtubule cytoskeleton organization	591	99	73.08	0.00294
GO:0006413	translational initiation	171	34	21.15	0.00301
GO:0040028	regulation of vulval development	41	12	5.07	0.00304
GO:0006310	DNA recombination	180	35	22.26	0.00386
GO:0000027	ribosomal large subunit assembly	32	10	3.96	0.00395
GO:0009303	rRNA transcription	32	10	3.96	0.00395
GO:0110020	regulation of actomyosin structure organ...	64	16	7.91	0.00399
GO:0034728	nucleosome organization	77	28	9.52	0.00410
GO:1904776	regulation of protein localization to ce...	10	5	1.24	0.00421
GO:2001032	regulation of double-strand break repair...	10	5	1.24	0.00421
GO:1901796	regulation of signal transduction by p53...	106	27	13.11	0.00425
GO:1901989	positive regulation of cell cycle phase ...	99	27	12.24	0.00429
GO:0033044	regulation of chromosome organization	356	76	44.02	0.00467
GO:0046940	nucleoside monophosphate phosphorylation	23	8	2.84	0.00469
GO:1902275	regulation of chromatin organization	176	34	21.76	0.00486
GO:0031060	regulation of histone methylation	60	15	7.42	0.00523
GO:0009451	RNA modification	114	24	14.1	0.00565
GO:1901673	regulation of mitotic spindle assembly	19	7	2.35	0.00565
GO:0032211	negative regulation of telomere maintena...	19	7	2.35	0.00565
GO:0031570	DNA integrity checkpoint signaling	133	27	16.45	0.00581
GO:0072332	intrinsic apoptotic signaling pathway by...	51	17	6.31	0.00583
GO:0051053	negative regulation of DNA metabolic pro...	107	30	13.23	0.00596
GO:0051029	rRNA transport	7	4	0.87	0.00596
GO:0045727	positive regulation of translation	109	23	13.48	0.00647
