GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0016607	nuclear speck	250	77	31.62	8.8e-15
GO:0000785	chromatin	407	102	51.48	6.1e-08
GO:0005730	nucleolus	630	127	79.68	1.1e-06
GO:0071013	catalytic step 2 spliceosome	100	34	12.65	1.2e-06
GO:0097431	mitotic spindle pole	24	13	3.04	1.3e-06
GO:0005700	polytene chromosome	141	38	17.83	2.9e-06
GO:0035061	interchromatin granule	6	6	0.76	4.0e-06
GO:0005654	nucleoplasm	2036	348	257.51	4.5e-06
GO:0043232	intracellular non-membrane-bounded organ...	2461	440	311.27	4.9e-06
GO:0000228	nuclear chromosome	362	87	45.79	7.0e-06
GO:0005721	pericentric heterochromatin	19	10	2.4	3.1e-05
GO:0016363	nuclear matrix	76	23	9.61	3.7e-05
GO:0000796	condensin complex	8	6	1.01	9.0e-05
GO:0070761	pre-snoRNP complex	11	7	1.39	0.00010
GO:0000794	condensed nuclear chromosome	73	21	9.23	0.00018
GO:0005681	spliceosomal complex	172	54	21.75	0.00051
GO:0031428	box C/D RNP complex	7	5	0.89	0.00054
GO:0000242	pericentriolar material	21	9	2.66	0.00056
GO:0051233	spindle midzone	48	15	6.07	0.00057
GO:0030687	preribosome, large subunit precursor	34	12	4.3	0.00059
GO:0035145	exon-exon junction complex	14	7	1.77	0.00077
GO:0031298	replication fork protection complex	11	6	1.39	0.00106
GO:0032040	small-subunit processome	42	13	5.31	0.00145
GO:0005923	bicellular tight junction	28	10	3.54	0.00152
GO:0015030	Cajal body	48	14	6.07	0.00182
GO:0090533	cation-transporting ATPase complex	3	3	0.38	0.00202
GO:0005674	transcription factor TFIIF complex	3	3	0.38	0.00202
GO:0001652	granular component	3	3	0.38	0.00202
GO:0005844	polysome	65	17	8.22	0.00231
GO:0008091	spectrin	6	4	0.76	0.00308
GO:0035861	site of double-strand break	17	7	2.15	0.00311
GO:0005634	nucleus	3237	514	409.42	0.00368
GO:0071007	U2-type catalytic step 2 spliceosome	36	11	4.55	0.00370
GO:0070603	SWI/SNF superfamily-type complex	56	17	7.08	0.00400
GO:0031965	nuclear membrane	152	31	19.23	0.00426
GO:0001650	fibrillar center	77	18	9.74	0.00642
GO:0016593	Cdc73/Paf1 complex	7	4	0.89	0.00648
GO:0000346	transcription export complex	7	4	0.89	0.00648
GO:0008278	cohesin complex	8	6	1.01	0.00723
GO:0000803	sex chromosome	39	11	4.93	0.00724
GO:0048788	cytoskeleton of presynaptic active zone	4	3	0.51	0.00730
GO:0090498	extrinsic component of Golgi membrane	4	3	0.51	0.00730
GO:0030893	meiotic cohesin complex	4	3	0.51	0.00730
GO:0008623	CHRAC	4	3	0.51	0.00730
GO:0005915	zonula adherens	15	6	1.9	0.00730
GO:0042585	germinal vesicle	11	5	1.39	0.00765
GO:0098687	chromosomal region	252	52	31.87	0.00850
GO:0071011	precatalytic spliceosome	46	12	5.82	0.01000
GO:0030686	90S preribosome	41	11	5.19	0.01079
GO:0042788	polysomal ribosome	26	8	3.29	0.01219
GO:0000792	heterochromatin	67	22	8.47	0.01311
GO:0005871	kinesin complex	54	13	6.83	0.01495
GO:0034451	centriolar satellite	27	8	3.41	0.01546
GO:1990617	CHOP-ATF4 complex	2	2	0.25	0.01598
GO:0016590	ACF complex	2	2	0.25	0.01598
GO:1990590	ATF1-ATF4 transcription factor complex	2	2	0.25	0.01598
GO:0033186	CAF-1 complex	2	2	0.25	0.01598
GO:0030892	mitotic cohesin complex	2	2	0.25	0.01598
GO:1990589	ATF4-CREB1 transcription factor complex	2	2	0.25	0.01598
GO:0045170	spectrosome	5	3	0.63	0.01654
GO:0030915	Smc5-Smc6 complex	5	3	0.63	0.01654
GO:0106068	SUMO ligase complex	5	3	0.63	0.01654
GO:0022625	cytosolic large ribosomal subunit	67	15	8.47	0.01811
GO:0000812	Swr1 complex	9	4	1.14	0.01893
GO:0005882	intermediate filament	9	4	1.14	0.01893
GO:0005694	chromosome	723	164	91.45	0.01938
GO:1990904	ribonucleoprotein complex	748	162	94.61	0.02120
GO:0005876	spindle microtubule	57	13	7.21	0.02314
GO:0008023	transcription elongation factor complex	47	14	5.94	0.02345
GO:0000974	Prp19 complex	14	5	1.77	0.02399
GO:0005918	septate junction	24	7	3.04	0.02507
GO:0005815	microtubule organizing center	526	87	66.53	0.02571
GO:0015934	large ribosomal subunit	108	21	13.66	0.02779
GO:0097539	ciliary transition fiber	10	4	1.26	0.02845
GO:0071204	histone pre-mRNA 3'end processing comple...	6	3	0.76	0.03000
GO:0097574	lateral part of cell	6	3	0.76	0.03000
GO:0071006	U2-type catalytic step 1 spliceosome	6	3	0.76	0.03000
GO:0032783	super elongation complex	6	3	0.76	0.03000
GO:0005847	mRNA cleavage and polyadenylation specif...	20	6	2.53	0.03257
GO:0016604	nuclear body	441	113	55.78	0.03528
GO:0000793	condensed chromosome	179	41	22.64	0.03605
GO:0000932	P-body	67	14	8.47	0.03807
GO:0045120	pronucleus	26	7	3.29	0.03812
GO:0000118	histone deacetylase complex	43	10	5.44	0.03848
GO:0046536	dosage compensation complex	11	4	1.39	0.04034
GO:0070938	contractile ring	16	5	2.02	0.04229
GO:1990124	messenger ribonucleoprotein complex	16	5	2.02	0.04229
GO:1990037	Lewy body core	3	2	0.38	0.04390
GO:0036449	microtubule minus-end	3	2	0.38	0.04390
GO:0033596	TSC1-TSC2 complex	3	2	0.38	0.04390
GO:0042382	paraspeckles	3	2	0.38	0.04390
GO:0009330	DNA topoisomerase type II (double strand...	3	2	0.38	0.04390
GO:0070274	RES complex	3	2	0.38	0.04390
GO:1990794	basolateral part of cell	3	2	0.38	0.04390
GO:0035097	histone methyltransferase complex	56	12	7.08	0.04423
GO:0005703	polytene chromosome puff	44	10	5.57	0.04438
GO:0036064	ciliary basal body	120	22	15.18	0.04478
GO:0000922	spindle pole	113	30	14.29	0.04663
GO:0008024	cyclin/CDK positive transcription elonga...	7	3	0.89	0.04765
GO:0071565	nBAF complex	7	3	0.89	0.04765
GO:0031616	spindle pole centrosome	17	5	2.15	0.05388
GO:0010369	chromocenter	17	5	2.15	0.05388
GO:0000781	chromosome, telomeric region	64	13	8.09	0.05445
GO:0099080	supramolecular complex	586	87	74.12	0.05486
GO:0005814	centriole	90	17	11.38	0.05664
