GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0003682	chromatin binding	358	98	45.08	2.3e-11
GO:0003729	mRNA binding	241	64	30.35	6.0e-08
GO:0003723	RNA binding	732	170	92.18	9.0e-07
GO:0042393	histone binding	130	40	16.37	1.7e-06
GO:0003697	single-stranded DNA binding	95	26	11.96	7.3e-05
GO:0031491	nucleosome binding	31	15	3.9	0.00014
GO:0036002	pre-mRNA binding	39	14	4.91	0.00016
GO:0003677	DNA binding	651	126	81.98	0.00018
GO:0016887	ATP hydrolysis activity	387	71	48.73	0.00047
GO:0003727	single-stranded RNA binding	69	19	8.69	0.00062
GO:0030515	snoRNA binding	35	12	4.41	0.00076
GO:0003678	DNA helicase activity	51	15	6.42	0.00109
GO:1990226	histone methyltransferase binding	5	4	0.63	0.00112
GO:1990269	RNA polymerase II C-terminal domain phos...	3	3	0.38	0.00199
GO:0001096	TFIIF-class transcription factor complex...	3	3	0.38	0.00199
GO:1990825	sequence-specific mRNA binding	16	7	2.01	0.00199
GO:0031492	nucleosomal DNA binding	9	5	1.13	0.00254
GO:0003725	double-stranded RNA binding	45	13	5.67	0.00276
GO:0036033	mediator complex binding	6	4	0.76	0.00303
GO:0043522	leucine zipper domain binding	6	4	0.76	0.00303
GO:0070087	chromo shadow domain binding	6	4	0.76	0.00303
GO:0051880	G-quadruplex DNA binding	13	6	1.64	0.00306
GO:1990837	sequence-specific double-stranded DNA bi...	286	52	36.02	0.00330
GO:0035064	methylated histone binding	41	12	5.16	0.00353
GO:0002039	p53 binding	57	15	7.18	0.00367
GO:0003700	DNA-binding transcription factor activit...	325	57	40.93	0.00485
GO:0003714	transcription corepressor activity	99	22	12.47	0.00496
GO:0050145	nucleoside monophosphate kinase activity	23	8	2.9	0.00524
GO:0070034	telomerase RNA binding	23	8	2.9	0.00524
GO:0003724	RNA helicase activity	76	18	9.57	0.00527
GO:0008494	translation activator activity	7	4	0.88	0.00637
GO:0030346	protein phosphatase 2B binding	4	3	0.5	0.00721
GO:0001099	basal RNA polymerase II transcription ma...	36	15	4.53	0.00883
GO:0140296	general transcription initiation factor ...	44	14	5.54	0.01013
GO:0005524	ATP binding	248	44	31.23	0.01030
GO:0019843	rRNA binding	52	13	6.55	0.01045
GO:0016428	tRNA (cytosine-5-)-methyltransferase act...	8	4	1.01	0.01148
GO:0030296	protein tyrosine kinase activator activi...	8	4	1.01	0.01148
GO:0070063	RNA polymerase binding	35	12	4.41	0.01411
GO:0008187	poly-pyrimidine tract binding	27	8	3.4	0.01505
GO:0004983	neuropeptide Y receptor activity	2	2	0.25	0.01584
GO:0005391	P-type sodium:potassium-exchanging trans...	2	2	0.25	0.01584
GO:0050786	RAGE receptor binding	2	2	0.25	0.01584
GO:0001602	pancreatic polypeptide receptor activity	2	2	0.25	0.01584
GO:0031151	histone H3K79 methyltransferase activity	2	2	0.25	0.01584
GO:0032574	5'-3' RNA helicase activity	2	2	0.25	0.01584
GO:0001054	RNA polymerase I activity	2	2	0.25	0.01584
GO:1990447	U2 snRNP binding	2	2	0.25	0.01584
GO:1990448	exon-exon junction complex binding	2	2	0.25	0.01584
GO:0030156	benzodiazepine receptor binding	2	2	0.25	0.01584
GO:0008556	P-type potassium transmembrane transport...	2	2	0.25	0.01584
GO:0000981	DNA-binding transcription factor activit...	268	46	33.75	0.01584
GO:0004534	5'-3' RNA exonuclease activity	5	3	0.63	0.01634
GO:0016427	tRNA (cytosine) methyltransferase activi...	9	4	1.13	0.01864
GO:0001091	RNA polymerase II general transcription ...	21	9	2.64	0.01869
GO:0048027	mRNA 5'-UTR binding	23	7	2.9	0.01940
GO:0001067	transcription regulatory region nucleic ...	300	50	37.78	0.02065
GO:0008574	plus-end-directed microtubule motor acti...	24	7	3.02	0.02450
GO:0017081	chloride channel regulator activity	10	4	1.26	0.02802
GO:0004017	adenylate kinase activity	10	4	1.26	0.02802
GO:0097322	7SK snRNA binding	6	3	0.76	0.02964
GO:0019869	chloride channel inhibitor activity	6	3	0.76	0.02964
GO:0097100	supercoiled DNA binding	6	3	0.76	0.02964
GO:0035375	zymogen binding	6	3	0.76	0.02964
GO:0042030	ATPase inhibitor activity	6	3	0.76	0.02964
GO:0008017	microtubule binding	136	25	17.13	0.03136
GO:0008757	S-adenosylmethionine-dependent methyltra...	97	19	12.22	0.03146
GO:0008097	5S rRNA binding	15	5	1.89	0.03177
GO:0001965	G-protein alpha-subunit binding	15	5	1.89	0.03177
GO:0051059	NF-kappaB binding	20	6	2.52	0.03192
GO:0031490	chromatin DNA binding	52	15	6.55	0.03614
GO:0035639	purine ribonucleoside triphosphate bindi...	332	53	41.81	0.03693
GO:0060590	ATPase regulator activity	26	7	3.27	0.03729
GO:0008157	protein phosphatase 1 binding	26	7	3.27	0.03729
GO:0043565	sequence-specific DNA binding	355	66	44.7	0.03816
GO:0000976	transcription cis-regulatory region bind...	250	41	31.48	0.04269
GO:0017069	snRNA binding	50	11	6.3	0.04328
GO:0071208	histone pre-mRNA DCP binding	3	2	0.38	0.04353
GO:0043184	vascular endothelial growth factor recep...	3	2	0.38	0.04353
GO:0030899	calcium-dependent ATPase activity	3	2	0.38	0.04353
GO:0003896	DNA primase activity	3	2	0.38	0.04353
GO:0017018	myosin phosphatase activity	3	2	0.38	0.04353
GO:0005172	vascular endothelial growth factor recep...	3	2	0.38	0.04353
GO:1990955	G-rich single-stranded DNA binding	3	2	0.38	0.04353
GO:0019901	protein kinase binding	394	61	49.62	0.04574
GO:0003713	transcription coactivator activity	175	30	22.04	0.04615
GO:0019237	centromeric DNA binding	7	3	0.88	0.04710
GO:0010484	histone H3 acetyltransferase activity	7	3	0.88	0.04710
GO:1990247	N6-methyladenosine-containing RNA bindin...	7	3	0.88	0.04710
GO:0008301	DNA binding, bending	7	3	0.88	0.04710
GO:0042799	histone H4K20 methyltransferase activity	7	3	0.88	0.04710
GO:0002151	G-quadruplex RNA binding	7	3	0.88	0.04710
GO:0140938	histone H3 methyltransferase activity	22	6	2.77	0.04947
GO:0004402	histone acetyltransferase activity	17	5	2.14	0.05299
GO:0018024	histone lysine N-methyltransferase activ...	28	7	3.53	0.05383
GO:0043047	single-stranded telomeric DNA binding	12	4	1.51	0.05385
GO:0070742	C2H2 zinc finger domain binding	12	4	1.51	0.05385
GO:0003730	mRNA 3'-UTR binding	58	12	7.3	0.05431
GO:1990841	promoter-specific chromatin binding	34	8	4.28	0.05598
GO:0008168	methyltransferase activity	111	20	13.98	0.06022
