GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0032501	multicellular organismal process	3624	1022	893.88	2.3e-15
GO:0048856	anatomical structure development	3104	888	765.62	1.6e-13
GO:0007275	multicellular organism development	2904	837	716.29	3.6e-13
GO:0032502	developmental process	3319	938	818.65	4.2e-13
GO:0048513	animal organ development	1919	583	473.33	2.3e-12
GO:0006959	humoral immune response	104	58	25.65	8.1e-12
GO:0048731	system development	2381	698	587.29	1.1e-11
GO:0048869	cellular developmental process	2215	655	546.34	1.5e-11
GO:0030154	cell differentiation	2165	642	534.01	1.7e-11
GO:0006955	immune response	755	262	186.23	2.3e-11
GO:0019730	antimicrobial humoral response	76	46	18.75	2.6e-11
GO:0009887	animal organ morphogenesis	854	290	210.64	2.6e-11
GO:0009653	anatomical structure morphogenesis	1711	522	422.03	4.1e-11
GO:0008283	cell population proliferation	1831	550	451.63	1.7e-10
GO:0009617	response to bacterium	292	120	72.02	1.8e-10
GO:0050896	response to stimulus	3457	955	852.69	3.5e-10
GO:0002376	immune system process	1212	382	298.95	8.1e-10
GO:0060429	epithelium development	1037	334	255.78	9.1e-10
GO:0007166	cell surface receptor signaling pathway	1151	365	283.9	9.9e-10
GO:0051179	localization	2892	814	713.33	1.1e-09
GO:0030879	mammary gland development	65	39	16.03	1.2e-09
GO:0002758	innate immune response-activating signal...	126	62	31.08	1.6e-09
GO:0050829	defense response to Gram-negative bacter...	78	44	19.24	1.7e-09
GO:0006952	defense response	611	212	150.71	2.9e-09
GO:0048468	cell development	1822	539	449.41	5.1e-09
GO:0040011	locomotion	1044	332	257.51	5.5e-09
GO:0002221	pattern recognition receptor signaling p...	118	58	29.11	5.6e-09
GO:0002218	activation of innate immune response	141	66	34.78	6.4e-09
GO:0007423	sensory organ development	572	199	141.09	7.5e-09
GO:0009888	tissue development	1263	390	311.53	9.5e-09
GO:0009605	response to external stimulus	1295	397	319.42	1.8e-08
GO:0010629	negative regulation of gene expression	1103	345	272.06	2.1e-08
