GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:1990001	inhibition of cysteine-type endopeptidas...	32	23	7.89	2.4e-08
GO:0051674	localization of cell	574	197	141.58	3.1e-08
GO:0060056	mammary gland involution	17	14	4.19	9.2e-07
GO:0006964	positive regulation of biosynthetic proc...	21	16	5.18	9.7e-07
GO:0061057	peptidoglycan recognition protein signal...	28	19	6.91	1.7e-06
GO:0008284	positive regulation of cell population p...	385	145	94.96	2.0e-06
GO:0071260	cellular response to mechanical stimulus	48	27	11.84	2.7e-06
GO:0060546	negative regulation of necroptotic proce...	16	13	3.95	3.1e-06
GO:0070936	protein K48-linked ubiquitination	49	29	12.09	1.9e-05
GO:0090263	positive regulation of canonical Wnt sig...	89	40	21.95	2.1e-05
GO:0040011	locomotion	1044	332	257.51	2.3e-05
GO:1903071	positive regulation of ER-associated ubi...	10	9	2.47	2.6e-05
GO:0090557	establishment of endothelial intestinal ...	10	9	2.47	2.6e-05
GO:0007455	eye-antennal disc morphogenesis	27	17	6.66	2.7e-05
GO:0022617	extracellular matrix disassembly	35	20	8.63	3.9e-05
GO:0007566	embryo implantation	23	15	5.67	4.4e-05
GO:0050829	defense response to Gram-negative bacter...	78	44	19.24	4.5e-05
GO:0086098	angiotensin-activated signaling pathway ...	7	7	1.73	5.5e-05
GO:1903598	positive regulation of gap junction asse...	7	7	1.73	5.5e-05
GO:1900085	negative regulation of peptidyl-tyrosine...	7	7	1.73	5.5e-05
GO:0019065	receptor-mediated endocytosis of virus b...	7	7	1.73	5.5e-05
GO:0002181	cytoplasmic translation	136	54	33.55	6.4e-05
GO:0051384	response to glucocorticoid	111	46	27.38	6.5e-05
GO:0007595	lactation	26	16	6.41	6.9e-05
GO:0045035	sensory organ precursor cell division	19	13	4.69	7.0e-05
GO:0006614	SRP-dependent cotranslational protein ta...	81	36	19.98	7.2e-05
GO:1903524	positive regulation of blood circulation	34	19	8.39	9.3e-05
GO:0098909	regulation of cardiac muscle cell action...	9	8	2.22	9.5e-05
GO:0060355	positive regulation of cell adhesion mol...	9	8	2.22	9.5e-05
GO:0033484	intracellular nitric oxide homeostasis	9	8	2.22	9.5e-05
GO:0072378	blood coagulation, fibrin clot formation	13	10	3.21	0.00011
GO:0070247	regulation of natural killer cell apopto...	13	10	3.21	0.00011
GO:2001271	negative regulation of cysteine-type end...	11	9	2.71	0.00011
GO:0070498	interleukin-1-mediated signaling pathway	27	16	6.66	0.00013
GO:0007275	multicellular organism development	2903	837	716.04	0.00013
GO:0090398	cellular senescence	40	21	9.87	0.00014
GO:0070534	protein K63-linked ubiquitination	39	23	9.62	0.00015
GO:0030879	mammary gland development	65	39	16.03	0.00015
GO:0051241	negative regulation of multicellular org...	563	189	138.87	0.00016
GO:0043123	positive regulation of I-kappaB kinase/N...	49	24	12.09	0.00019
GO:0045907	positive regulation of vasoconstriction	18	12	4.44	0.00020
GO:0000184	nuclear-transcribed mRNA catabolic proce...	106	43	26.15	0.00020
GO:0042381	hemolymph coagulation	6	6	1.48	0.00022
GO:1902527	positive regulation of protein monoubiqu...	6	6	1.48	0.00022
GO:0045019	negative regulation of nitric oxide bios...	16	11	3.95	0.00025
GO:0007605	sensory perception of sound	104	42	25.65	0.00026
GO:0050830	defense response to Gram-positive bacter...	50	24	12.33	0.00028
GO:1904886	beta-catenin destruction complex disasse...	14	10	3.45	0.00030
GO:0031532	actin cytoskeleton reorganization	74	32	18.25	0.00033
GO:0051865	protein autoubiquitination	68	30	16.77	0.00033
GO:0061158	3'-UTR-mediated mRNA destabilization	8	7	1.97	0.00035
GO:1903609	negative regulation of inward rectifier ...	8	7	1.97	0.00035
GO:0044860	protein localization to plasma membrane ...	8	7	1.97	0.00035
GO:0048550	negative regulation of pinocytosis	8	7	1.97	0.00035
GO:0003057	regulation of the force of heart contrac...	8	7	1.97	0.00035
GO:0070836	caveola assembly	8	7	1.97	0.00035
GO:0043163	cell envelope organization	8	7	1.97	0.00035
GO:2000286	receptor internalization involved in can...	8	7	1.97	0.00035
GO:0046673	negative regulation of compound eye reti...	12	9	2.96	0.00035
GO:0098911	regulation of ventricular cardiac muscle...	10	8	2.47	0.00037
GO:0034141	positive regulation of toll-like recepto...	10	8	2.47	0.00037
GO:0019730	antimicrobial humoral response	76	46	18.75	0.00042
GO:0007166	cell surface receptor signaling pathway	1151	365	283.9	0.00046
GO:0016477	cell migration	673	220	166	0.00047
GO:0007289	spermatid nucleus differentiation	32	17	7.89	0.00049
GO:0032496	response to lipopolysaccharide	119	51	29.35	0.00053
GO:0007613	memory	133	56	32.81	0.00054
GO:0030335	positive regulation of cell migration	183	65	45.14	0.00057
GO:0043903	regulation of biological process involve...	119	49	29.35	0.00066
GO:0051496	positive regulation of stress fiber asse...	30	16	7.4	0.00068
GO:0022416	chaeta development	89	36	21.95	0.00068
GO:0006954	inflammatory response	176	69	43.41	0.00070
GO:2000637	positive regulation of miRNA-mediated ge...	15	10	3.7	0.00070
GO:0035114	imaginal disc-derived appendage morphoge...	201	73	49.58	0.00071
GO:0019915	lipid storage	112	43	27.63	0.00080
GO:0010524	positive regulation of calcium ion trans...	20	12	4.93	0.00080
GO:0038061	NIK/NF-kappaB signaling	42	24	10.36	0.00084
GO:0030514	negative regulation of BMP signaling pat...	36	18	8.88	0.00087
GO:0045899	positive regulation of RNA polymerase II...	13	9	3.21	0.00088
GO:0022612	gland morphogenesis	127	56	31.33	0.00091
GO:0001867	complement activation, lectin pathway	5	5	1.23	0.00091
GO:0051639	actin filament network formation	5	5	1.23	0.00091
GO:1902524	positive regulation of protein K48-linke...	5	5	1.23	0.00091
GO:0060999	positive regulation of dendritic spine d...	39	19	9.62	0.00094
GO:0045926	negative regulation of growth	173	61	42.67	0.00102
GO:0034123	positive regulation of toll-like recepto...	23	13	5.67	0.00106
GO:0098903	regulation of membrane repolarization du...	11	8	2.71	0.00107
GO:0060161	positive regulation of dopamine receptor...	11	8	2.71	0.00107
GO:0071455	cellular response to hyperoxia	11	8	2.71	0.00107
GO:1902622	regulation of neutrophil migration	11	8	2.71	0.00107
GO:0035153	epithelial cell type specification, open...	11	8	2.71	0.00107
GO:0031663	lipopolysaccharide-mediated signaling pa...	18	11	4.44	0.00108
GO:0001938	positive regulation of endothelial cell ...	34	17	8.39	0.00121
GO:0010838	positive regulation of keratinocyte prol...	9	7	2.22	0.00122
GO:0045989	positive regulation of striated muscle c...	7	6	1.73	0.00123
GO:0010721	negative regulation of cell development	261	86	64.38	0.00127
GO:0006953	acute-phase response	16	10	3.95	0.00145
GO:1901222	regulation of NIK/NF-kappaB signaling	29	15	7.15	0.00150
GO:0043627	response to estrogen	32	16	7.89	0.00167
GO:0051480	regulation of cytosolic calcium ion conc...	77	31	18.99	0.00172
GO:0031116	positive regulation of microtubule polym...	24	13	5.92	0.00180
GO:0034142	toll-like receptor 4 signaling pathway	14	9	3.45	0.00192
