GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0005912	adherens junction	167	78	41.64	5.1e-10
GO:0005925	focal adhesion	83	43	20.7	1.1e-07
GO:0005615	extracellular space	236	94	58.84	1.9e-07
GO:0005576	extracellular region	508	194	126.67	1.9e-06
GO:0009986	cell surface	173	68	43.14	1.6e-05
GO:0048471	perinuclear region of cytoplasm	415	140	103.48	1.9e-05
GO:0022625	cytosolic large ribosomal subunit	67	32	16.71	4.0e-05
GO:0008540	proteasome regulatory particle, base sub...	17	12	4.24	9.5e-05
GO:0022627	cytosolic small ribosomal subunit	47	24	11.72	9.8e-05
GO:0016323	basolateral plasma membrane	121	49	30.17	0.00010
GO:0031595	nuclear proteasome complex	11	9	2.74	0.00012
GO:1904813	ficolin-1-rich granule lumen	98	40	24.44	0.00036
GO:0036021	endolysosome lumen	10	8	2.49	0.00040
GO:0098556	cytoplasmic side of rough endoplasmic re...	19	12	4.74	0.00046
GO:0016324	apical plasma membrane	167	61	41.64	0.00049
GO:0005918	septate junction	24	14	5.98	0.00049
GO:0030018	Z disc	78	33	19.45	0.00054
GO:0016028	rhabdomere	20	12	4.99	0.00089
GO:0031597	cytosolic proteasome complex	18	11	4.49	0.00119
GO:0005856	cytoskeleton	1126	337	280.76	0.00130
GO:0035631	CD40 receptor complex	9	7	2.24	0.00131
GO:0005885	Arp2/3 protein complex	7	6	1.75	0.00131
GO:0005884	actin filament	54	24	13.46	0.00132
GO:0005886	plasma membrane	1325	395	330.38	0.00173
GO:0009898	cytoplasmic side of plasma membrane	110	41	27.43	0.00254
GO:0000805	X chromosome	22	12	5.49	0.00275
GO:0099568	cytoplasmic region	449	137	111.95	0.00313
GO:0016363	nuclear matrix	76	30	18.95	0.00346
GO:0034774	secretory granule lumen	176	71	43.88	0.00353
GO:0034750	Scrib-APC-beta-catenin complex	4	4	1	0.00385
GO:0002080	acrosomal membrane	15	9	3.74	0.00407
GO:0005853	eukaryotic translation elongation factor...	8	6	1.99	0.00414
GO:0098553	lumenal side of endoplasmic reticulum me...	6	5	1.5	0.00456
GO:0005929	cilium	432	131	107.72	0.00487
GO:0005844	polysome	65	26	16.21	0.00510
GO:0035578	azurophil granule lumen	62	25	15.46	0.00528
GO:0005604	basement membrane	29	14	7.23	0.00540
GO:0001533	cornified envelope	13	8	3.24	0.00550
GO:0000502	proteasome complex	59	30	14.71	0.00567
GO:0005901	caveola	41	18	10.22	0.00604
GO:0031093	platelet alpha granule lumen	21	11	5.24	0.00620
GO:0043209	myelin sheath	125	44	31.17	0.00622
GO:0005794	Golgi apparatus	621	181	154.84	0.00657
GO:0042383	sarcolemma	57	23	14.21	0.00723
GO:0005871	kinesin complex	54	22	13.46	0.00747
GO:0005811	lipid droplet	48	20	11.97	0.00788
GO:0010494	cytoplasmic stress granule	42	18	10.47	0.00815
GO:0005700	polytene chromosome	141	48	35.16	0.00897
GO:0032426	stereocilium tip	9	6	2.24	0.00981
GO:0043235	receptor complex	71	31	17.7	0.01067
GO:0016234	inclusion body	43	18	10.72	0.01082
GO:0098562	cytoplasmic side of membrane	146	62	36.4	0.01095
GO:0045261	proton-transporting ATP synthase complex...	7	5	1.75	0.01268
GO:0000275	mitochondrial proton-transporting ATP sy...	7	5	1.75	0.01268
GO:0120025	plasma membrane bounded cell projection	1142	334	284.75	0.01326
GO:0044291	cell-cell contact zone	44	18	10.97	0.01414
GO:0098802	plasma membrane signaling receptor compl...	44	22	10.97	0.01471
GO:0033256	I-kappaB/NF-kappaB complex	5	4	1.25	0.01543
GO:0005606	laminin-1 complex	3	3	0.75	0.01548
GO:0090665	glycoprotein complex	3	3	0.75	0.01548
GO:1990794	basolateral part of cell	3	3	0.75	0.01548
GO:0005899	insulin receptor complex	3	3	0.75	0.01548
GO:0043260	laminin-11 complex	3	3	0.75	0.01548
GO:0043256	laminin complex	3	3	0.75	0.01548
GO:0043259	laminin-10 complex	3	3	0.75	0.01548
GO:0033583	rhabdomere membrane	3	3	0.75	0.01548
GO:0016010	dystrophin-associated glycoprotein compl...	3	3	0.75	0.01548
