GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0089720	caspase binding	32	23	8.08	3.8e-08
GO:0043027	cysteine-type endopeptidase inhibitor ac...	36	24	9.09	1.9e-07
GO:0034336	misfolded RNA binding	10	9	2.53	3.2e-05
GO:0019901	protein kinase binding	394	134	99.52	3.4e-05
GO:0070320	inward rectifier potassium channel inhib...	7	7	1.77	6.5e-05
GO:0031625	ubiquitin protein ligase binding	221	81	55.82	8.3e-05
GO:0036402	proteasome-activating activity	11	9	2.78	0.00014
GO:0033612	receptor serine/threonine kinase binding	13	10	3.28	0.00014
GO:0005518	collagen binding	23	14	5.81	0.00031
GO:0043394	proteoglycan binding	28	16	7.07	0.00032
GO:0031748	D1 dopamine receptor binding	14	10	3.54	0.00037
GO:0046872	metal ion binding	535	177	135.14	0.00037
GO:0046625	sphingolipid binding	8	7	2.02	0.00040
GO:0050998	nitric-oxide synthase binding	12	9	3.03	0.00042
GO:0061663	NEDD8 ligase activity	10	8	2.53	0.00044
GO:0004252	serine-type endopeptidase activity	43	21	10.86	0.00069
GO:0000977	RNA polymerase II transcription regulato...	218	75	55.07	0.00132
GO:0008083	growth factor activity	7	6	1.77	0.00141
GO:0031624	ubiquitin conjugating enzyme binding	31	16	7.83	0.00142
GO:0001530	lipopolysaccharide binding	9	7	2.27	0.00142
GO:0004364	glutathione transferase activity	12	8	3.03	0.00295
GO:0003810	protein-glutamine gamma-glutamyltransfer...	10	7	2.53	0.00371
GO:0046982	protein heterodimerization activity	243	80	61.38	0.00374
GO:0016801	hydrolase activity, acting on ether bond...	4	4	1.01	0.00406
GO:0098770	FBXO family protein binding	4	4	1.01	0.00406
GO:0008384	IkappaB kinase activity	4	4	1.01	0.00406
GO:0019829	ATPase-coupled monoatomic cation transme...	28	14	7.07	0.00409
GO:0016504	peptidase activator activity	31	15	7.83	0.00446
GO:0003735	structural constituent of ribosome	162	56	40.92	0.00461
GO:1990405	protein antigen binding	6	5	1.52	0.00485
GO:0019838	growth factor binding	37	17	9.35	0.00494
GO:0017025	TBP-class protein binding	26	13	6.57	0.00562
GO:0001228	DNA-binding transcription activator acti...	123	44	31.07	0.00568
GO:0001968	fibronectin binding	13	8	3.28	0.00599
GO:0005113	patched binding	13	8	3.28	0.00599
GO:0008270	zinc ion binding	247	80	62.39	0.00603
GO:0003682	chromatin binding	358	111	90.43	0.00650
GO:0016887	ATP hydrolysis activity	387	119	97.76	0.00660
GO:0035613	RNA stem-loop binding	21	11	5.3	0.00688
GO:0003779	actin binding	179	60	45.22	0.00736
GO:0005198	structural molecule activity	354	119	89.42	0.00786
GO:0004190	aspartic-type endopeptidase activity	11	7	2.78	0.00798
GO:0005126	cytokine receptor binding	54	22	13.64	0.00874
GO:0042625	ATPase-coupled ion transmembrane transpo...	30	14	7.58	0.00883
GO:0022853	active monoatomic ion transmembrane tran...	95	40	24	0.00898
GO:0008238	exopeptidase activity	48	20	12.12	0.00913
GO:0015662	P-type ion transporter activity	19	10	4.8	0.00950
GO:0005158	insulin receptor binding	19	10	4.8	0.00950
GO:0005416	amino acid:monoatomic cation symporter a...	9	6	2.27	0.01049
GO:0005123	death receptor binding	9	6	2.27	0.01049
GO:0001784	phosphotyrosine residue binding	14	8	3.54	0.01091
GO:0032027	myosin light chain binding	14	8	3.54	0.01091
GO:0004714	transmembrane receptor protein tyrosine ...	14	8	3.54	0.01091
GO:0018024	histone lysine N-methyltransferase activ...	28	13	7.07	0.01208
GO:0022890	inorganic cation transmembrane transport...	183	60	46.23	0.01226
GO:0016278	lysine N-methyltransferase activity	31	14	7.83	0.01243
GO:0016279	protein-lysine N-methyltransferase activ...	31	14	7.83	0.01243
GO:0019199	transmembrane receptor protein kinase ac...	17	9	4.29	0.01315
GO:0004180	carboxypeptidase activity	17	9	4.29	0.01315
GO:0005388	P-type calcium transporter activity	7	5	1.77	0.01343
GO:0047498	calcium-dependent phospholipase A2 activ...	7	5	1.77	0.01343
GO:0004704	NF-kappaB-inducing kinase activity	7	5	1.77	0.01343
GO:0003729	mRNA binding	241	76	60.88	0.01467
GO:0008307	structural constituent of muscle	20	10	5.05	0.01476
GO:1990381	ubiquitin-specific protease binding	20	10	5.05	0.01476
GO:0005509	calcium ion binding	136	46	34.35	0.01478
GO:0005343	organic acid:sodium symporter activity	12	7	3.03	0.01501
GO:0005245	voltage-gated calcium channel activity	3	3	0.76	0.01609
GO:0055131	C3HC4-type RING finger domain binding	3	3	0.76	0.01609
GO:0070700	BMP receptor binding	3	3	0.76	0.01609
GO:0070891	lipoteichoic acid binding	3	3	0.76	0.01609
GO:0030984	kininogen binding	3	3	0.76	0.01609
GO:0120016	sphingolipid transfer activity	3	3	0.76	0.01609
GO:0120017	ceramide transfer activity	3	3	0.76	0.01609
GO:0030899	calcium-dependent ATPase activity	3	3	0.76	0.01609
GO:0098808	mRNA cap binding	3	3	0.76	0.01609
GO:0000293	ferric-chelate reductase activity	3	3	0.76	0.01609
GO:0070016	armadillo repeat domain binding	5	4	1.26	0.01620
GO:0051371	muscle alpha-actinin binding	5	4	1.26	0.01620
GO:0017153	sodium:dicarboxylate symporter activity	5	4	1.26	0.01620
GO:0015556	C4-dicarboxylate transmembrane transport...	5	4	1.26	0.01620
GO:0038187	pattern recognition receptor activity	5	4	1.26	0.01620
GO:0005149	interleukin-1 receptor binding	5	4	1.26	0.01620
GO:0051015	actin filament binding	86	31	21.72	0.01642
GO:0005496	steroid binding	38	16	9.6	0.01682
GO:0035198	miRNA binding	15	8	3.79	0.01828
GO:0015081	sodium ion transmembrane transporter act...	54	21	13.64	0.01842
GO:0032813	tumor necrosis factor receptor superfami...	18	9	4.55	0.02050
GO:0004385	guanylate kinase activity	10	6	2.53	0.02066
GO:0035925	mRNA 3'-UTR AU-rich region binding	10	6	2.53	0.02066
GO:0004707	MAP kinase activity	10	6	2.53	0.02066
GO:0003774	cytoskeletal motor activity	111	38	28.04	0.02070
GO:0016301	kinase activity	380	116	95.99	0.02093
GO:0015318	inorganic molecular entity transmembrane...	216	68	54.56	0.02102
GO:0003730	mRNA 3'-UTR binding	58	22	14.65	0.02183
GO:0016776	phosphotransferase activity, phosphate g...	33	14	8.34	0.02293
GO:0061630	ubiquitin protein ligase activity	150	49	37.89	0.02369
GO:0051219	phosphoprotein binding	52	20	13.14	0.02398
GO:0019904	protein domain specific binding	436	128	110.13	0.02413
GO:0140033	acetylation-dependent protein binding	13	7	3.28	0.02553
GO:0070577	lysine-acetylated histone binding	13	7	3.28	0.02553
GO:1901702	salt transmembrane transporter activity	137	45	34.61	0.02666
GO:0004866	endopeptidase inhibitor activity	52	32	13.14	0.02682
GO:0030414	peptidase inhibitor activity	52	32	13.14	0.02682
GO:0015293	symporter activity	43	17	10.86	0.02725
GO:0015294	solute:monoatomic cation symporter activ...	43	17	10.86	0.02725
GO:0003823	antigen binding	14	10	3.54	0.02811
GO:0061135	endopeptidase regulator activity	55	33	13.89	0.02838
GO:0005283	amino acid:sodium symporter activity	8	5	2.02	0.02842
GO:0035259	nuclear glucocorticoid receptor binding	8	5	2.02	0.02842
GO:0005537	mannose binding	8	5	2.02	0.02842
GO:0043560	insulin receptor substrate binding	8	5	2.02	0.02842
GO:0005159	insulin-like growth factor receptor bind...	8	5	2.02	0.02842
GO:0017022	myosin binding	66	24	16.67	0.02903
GO:0001227	DNA-binding transcription repressor acti...	53	20	13.39	0.02963
GO:0001217	DNA-binding transcription repressor acti...	53	20	13.39	0.02963
GO:1901681	sulfur compound binding	93	32	23.49	0.02973
GO:0005326	neurotransmitter transmembrane transport...	19	9	4.8	0.03041
GO:0140938	histone H3 methyltransferase activity	22	10	5.56	0.03131
GO:0004672	protein kinase activity	294	91	74.26	0.03278
GO:0046914	transition metal ion binding	325	107	82.1	0.03436
GO:0004550	nucleoside diphosphate kinase activity	11	6	2.78	0.03587
GO:0042288	MHC class I protein binding	11	6	2.78	0.03587
GO:0061134	peptidase regulator activity	81	46	20.46	0.03687
GO:0000987	cis-regulatory region sequence-specific ...	168	53	42.44	0.03693
GO:0000978	RNA polymerase II cis-regulatory region ...	161	51	40.67	0.03736
GO:0008426	protein kinase C inhibitor activity	6	4	1.52	0.03890
GO:0043121	neurotrophin binding	6	4	1.52	0.03890
GO:0046933	proton-transporting ATP synthase activit...	6	4	1.52	0.03890
GO:0048406	nerve growth factor binding	6	4	1.52	0.03890
GO:0048306	calcium-dependent protein binding	35	14	8.84	0.03892
GO:1901682	sulfur compound transmembrane transporte...	14	7	3.54	0.04014
GO:0015179	L-amino acid transmembrane transporter a...	14	7	3.54	0.04014
GO:0042393	histone binding	130	42	32.84	0.04088
GO:0015485	cholesterol binding	29	12	7.33	0.04159
GO:0008201	heparin binding	29	12	7.33	0.04159
GO:0005539	glycosaminoglycan binding	45	17	11.37	0.04251
GO:0008157	protein phosphatase 1 binding	26	11	6.57	0.04258
GO:0004842	ubiquitin-protein transferase activity	227	69	57.34	0.04268
GO:0000339	RNA cap binding	20	9	5.05	0.04321
GO:0046875	ephrin receptor binding	20	9	5.05	0.04321
GO:0033218	amide binding	163	51	41.17	0.04614
GO:0008509	monoatomic anion transmembrane transport...	86	29	21.72	0.04804
GO:0004869	cysteine-type endopeptidase inhibitor ac...	40	27	10.1	0.05061
GO:0031996	thioesterase binding	9	5	2.27	0.05083
GO:0046624	sphingolipid transporter activity	9	5	2.27	0.05083
GO:0031420	alkali metal ion binding	9	5	2.27	0.05083
GO:0003777	microtubule motor activity	90	30	22.73	0.05188
GO:0046873	metal ion transmembrane transporter acti...	125	40	31.58	0.05194
GO:0015085	calcium ion transmembrane transporter ac...	46	17	11.62	0.05209
GO:0008554	P-type sodium transporter activity	4	3	1.01	0.05219
GO:1901612	cardiolipin binding	4	3	1.01	0.05219
GO:0042500	aspartic endopeptidase activity, intrame...	4	3	1.01	0.05219
GO:0000700	mismatch base pair DNA N-glycosylase act...	4	3	1.01	0.05219
GO:0015386	potassium:proton antiporter activity	4	3	1.01	0.05219
GO:0043208	glycosphingolipid binding	4	3	1.01	0.05219
GO:0035174	histone serine kinase activity	4	3	1.01	0.05219
GO:0015420	ABC-type vitamin B12 transporter activit...	4	3	1.01	0.05219
GO:0008242	omega peptidase activity	4	3	1.01	0.05219
GO:0005355	glucose transmembrane transporter activi...	4	3	1.01	0.05219
GO:0097001	ceramide binding	4	3	1.01	0.05219
GO:0005520	insulin-like growth factor binding	4	3	1.01	0.05219
GO:0004100	chitin synthase activity	4	3	1.01	0.05219
